<https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="self"; type="application/link-format"; from="Mon, 25 May 2020 13:21:03 GMT",
<http://web.archive.org/web/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="timegate",
<http://web.archive.org/web/20201115012726/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:26 GMT",
<http://web.archive.org/web/20201115012727/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:27 GMT",
<http://web.archive.org/web/20201115012728/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:28 GMT",
<http://web.archive.org/web/20201115012733/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:33 GMT",
<http://web.archive.org/web/20201115012734/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:34 GMT",
<http://web.archive.org/web/20201115012735/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:35 GMT",
<http://web.archive.org/web/20201115012736/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:36 GMT",
<http://web.archive.org/web/20201115012737/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:37 GMT",
<http://web.archive.org/web/20201115012739/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:39 GMT",
<http://web.archive.org/web/20201115012741/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:41 GMT",
<http://web.archive.org/web/20201115012755/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:55 GMT",
<http://web.archive.org/web/20201115012758/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:58 GMT",
<http://web.archive.org/web/20201201053920/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Tue, 01 Dec 2020 05:39:20 GMT",
<http://web.archive.org/web/20201213094028/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 13 Dec 2020 09:40:28 GMT",
<http://web.archive.org/web/20210120194017/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Wed, 20 Jan 2021 19:40:17 GMT",
<http://web.archive.org/web/20210127142834/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Wed, 27 Jan 2021 14:28:34 GMT",
<http://web.archive.org/web/20210223042648/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Tue, 23 Feb 2021 04:26:48 GMT",
<http://web.archive.org/web/20210228040003/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 28 Feb 2021 04:00:03 GMT",
<http://web.archive.org/web/20210423083340/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Fri, 23 Apr 2021 08:33:40 GMT",
<http://web.archive.org/web/20210518081324/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Tue, 18 May 2021 08:13:24 GMT",
<http://web.archive.org/web/20211031001407/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 31 Oct 2021 00:14:07 GMT",
