<https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="self"; type="application/link-format"; from="Wed, 14 Aug 2019 02:57:22 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="timegate",
<http://web.archive.org/web/20210423014255/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Fri, 23 Apr 2021 01:42:55 GMT",
<http://web.archive.org/web/20210428191222/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Wed, 28 Apr 2021 19:12:22 GMT",
<http://web.archive.org/web/20210516052337/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Sun, 16 May 2021 05:23:37 GMT",
<http://web.archive.org/web/20210604040414/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Fri, 04 Jun 2021 04:04:14 GMT",
<http://web.archive.org/web/20210610091027/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Thu, 10 Jun 2021 09:10:27 GMT",
<http://web.archive.org/web/20210623145149/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Wed, 23 Jun 2021 14:51:49 GMT",
<http://web.archive.org/web/20210813200956/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Fri, 13 Aug 2021 20:09:56 GMT",
<http://web.archive.org/web/20211017072545/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Sun, 17 Oct 2021 07:25:45 GMT",
<http://web.archive.org/web/20211017210805/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Sun, 17 Oct 2021 21:08:05 GMT",
<http://web.archive.org/web/20211019212729/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Tue, 19 Oct 2021 21:27:29 GMT",
<http://web.archive.org/web/20211020085410/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Wed, 20 Oct 2021 08:54:10 GMT",
