<https://secure.actblue.com/donate/sharice-for-congress-1>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="self"; type="application/link-format"; from="Wed, 08 Aug 2018 13:03:03 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="timegate",
<http://web.archive.org/web/20200114211248/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Tue, 14 Jan 2020 21:12:48 GMT",
<http://web.archive.org/web/20200521194814/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Thu, 21 May 2020 19:48:14 GMT",
<http://web.archive.org/web/20200828044052/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Fri, 28 Aug 2020 04:40:52 GMT",
<http://web.archive.org/web/20200901075223/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Tue, 01 Sep 2020 07:52:23 GMT",
<http://web.archive.org/web/20200903080422/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Thu, 03 Sep 2020 08:04:22 GMT",
<http://web.archive.org/web/20200928063431/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Mon, 28 Sep 2020 06:34:31 GMT",
<http://web.archive.org/web/20201004003358/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sun, 04 Oct 2020 00:33:58 GMT",
<http://web.archive.org/web/20201004041219/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sun, 04 Oct 2020 04:12:19 GMT",
<http://web.archive.org/web/20201020032905/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Tue, 20 Oct 2020 03:29:05 GMT",
<http://web.archive.org/web/20201020035008/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Tue, 20 Oct 2020 03:50:08 GMT",
<http://web.archive.org/web/20201023153527/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Fri, 23 Oct 2020 15:35:27 GMT",
<http://web.archive.org/web/20201101091144/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sun, 01 Nov 2020 09:11:44 GMT",
<http://web.archive.org/web/20201101182249/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sun, 01 Nov 2020 18:22:49 GMT",
<http://web.archive.org/web/20201113030225/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Fri, 13 Nov 2020 03:02:25 GMT",
<http://web.archive.org/web/20201121140327/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sat, 21 Nov 2020 14:03:27 GMT",
<http://web.archive.org/web/20201121140543/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sat, 21 Nov 2020 14:05:43 GMT",
<http://web.archive.org/web/20201121140552/http://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sat, 21 Nov 2020 14:05:52 GMT",
<http://web.archive.org/web/20201121140552/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sat, 21 Nov 2020 14:05:52 GMT",
<http://web.archive.org/web/20201121141259/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sat, 21 Nov 2020 14:12:59 GMT",
<http://web.archive.org/web/20201121141918/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sat, 21 Nov 2020 14:19:18 GMT",
<http://web.archive.org/web/20201121144810/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sat, 21 Nov 2020 14:48:10 GMT",
<http://web.archive.org/web/20201121153020/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sat, 21 Nov 2020 15:30:20 GMT",
<http://web.archive.org/web/20201125024400/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Wed, 25 Nov 2020 02:44:00 GMT",
<http://web.archive.org/web/20201125025105/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Wed, 25 Nov 2020 02:51:05 GMT",
<http://web.archive.org/web/20201129210727/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sun, 29 Nov 2020 21:07:27 GMT",
<http://web.archive.org/web/20201205154718/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sat, 05 Dec 2020 15:47:18 GMT",
<http://web.archive.org/web/20201212084445/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sat, 12 Dec 2020 08:44:45 GMT",
<http://web.archive.org/web/20210225052632/http://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Thu, 25 Feb 2021 05:26:32 GMT",
<http://web.archive.org/web/20210225052632/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Thu, 25 Feb 2021 05:26:32 GMT",
<http://web.archive.org/web/20210308092438/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Mon, 08 Mar 2021 09:24:38 GMT",
<http://web.archive.org/web/20210509093528/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sun, 09 May 2021 09:35:28 GMT",
<http://web.archive.org/web/20210511185038/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Tue, 11 May 2021 18:50:38 GMT",
<http://web.archive.org/web/20210516185103/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sun, 16 May 2021 18:51:03 GMT",
<http://web.archive.org/web/20210812135321/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Thu, 12 Aug 2021 13:53:21 GMT",
<http://web.archive.org/web/20210912054856/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sun, 12 Sep 2021 05:48:56 GMT",
<http://web.archive.org/web/20211017105150/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sun, 17 Oct 2021 10:51:50 GMT",
<http://web.archive.org/web/20211018014844/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Mon, 18 Oct 2021 01:48:44 GMT",
<http://web.archive.org/web/20211019080629/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Tue, 19 Oct 2021 08:06:29 GMT",
<http://web.archive.org/web/20211020004429/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Wed, 20 Oct 2021 00:44:29 GMT",
<http://web.archive.org/web/20211022054325/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Fri, 22 Oct 2021 05:43:25 GMT",
<http://web.archive.org/web/20211112060609/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Fri, 12 Nov 2021 06:06:09 GMT",
<http://web.archive.org/web/20220212024051/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sat, 12 Feb 2022 02:40:51 GMT",
