<https://secure.winred.com/nicolemalliotakis/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/nicolemalliotakis/donate>; rel="self"; type="application/link-format"; from="Wed, 04 Dec 2019 02:19:11 GMT",
<http://web.archive.org/web/https://secure.winred.com/nicolemalliotakis/donate>; rel="timegate",
<http://web.archive.org/web/20201118154227/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 15:42:27 GMT",
<http://web.archive.org/web/20201124185852/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Tue, 24 Nov 2020 18:58:52 GMT",
<http://web.archive.org/web/20201125031104/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Wed, 25 Nov 2020 03:11:04 GMT",
<http://web.archive.org/web/20201129041750/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Sun, 29 Nov 2020 04:17:50 GMT",
<http://web.archive.org/web/20201130032526/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Mon, 30 Nov 2020 03:25:26 GMT",
<http://web.archive.org/web/20201213065204/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 06:52:04 GMT",
<http://web.archive.org/web/20210106225300/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Wed, 06 Jan 2021 22:53:00 GMT",
<http://web.archive.org/web/20210121205728/https://secure.winred.com/nicolemalliotakis/donate/>; rel="memento"; datetime="Thu, 21 Jan 2021 20:57:28 GMT",
<http://web.archive.org/web/20210305125435/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Fri, 05 Mar 2021 12:54:35 GMT",
<http://web.archive.org/web/20210322111532/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Mon, 22 Mar 2021 11:15:32 GMT",
<http://web.archive.org/web/20210331040101/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 04:01:01 GMT",
<http://web.archive.org/web/20210416005301/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 00:53:01 GMT",
<http://web.archive.org/web/20210416111306/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 11:13:06 GMT",
<http://web.archive.org/web/20210417082846/https://secure.winred.com/nicolemalliotakis/donate/>; rel="memento"; datetime="Sat, 17 Apr 2021 08:28:46 GMT",
<http://web.archive.org/web/20210419073403/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Mon, 19 Apr 2021 07:34:03 GMT",
<http://web.archive.org/web/20210419145421/https://secure.winred.com/nicolemalliotakis/donate/>; rel="memento"; datetime="Mon, 19 Apr 2021 14:54:21 GMT",
<http://web.archive.org/web/20210505211957/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Wed, 05 May 2021 21:19:57 GMT",
<http://web.archive.org/web/20210508225620/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Sat, 08 May 2021 22:56:20 GMT",
<http://web.archive.org/web/20211006035227/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Wed, 06 Oct 2021 03:52:27 GMT",
<http://web.archive.org/web/20211111011945/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Thu, 11 Nov 2021 01:19:45 GMT",
<http://web.archive.org/web/20211111011947/https://secure.winred.com/nicolemalliotakis/donate/>; rel="memento"; datetime="Thu, 11 Nov 2021 01:19:47 GMT",
