<https://secure.actblue.com/donate/cameronwebb>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/cameronwebb>; rel="self"; type="application/link-format"; from="Fri, 09 Aug 2019 04:25:48 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/cameronwebb>; rel="timegate",
<http://web.archive.org/web/20201224141439/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Thu, 24 Dec 2020 14:14:39 GMT",
<http://web.archive.org/web/20201231162419/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Thu, 31 Dec 2020 16:24:19 GMT",
<http://web.archive.org/web/20210108110405/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Fri, 08 Jan 2021 11:04:05 GMT",
<http://web.archive.org/web/20210115143748/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Fri, 15 Jan 2021 14:37:48 GMT",
<http://web.archive.org/web/20210128122817/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Thu, 28 Jan 2021 12:28:17 GMT",
<http://web.archive.org/web/20210204085459/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Thu, 04 Feb 2021 08:54:59 GMT",
<http://web.archive.org/web/20210211210005/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Thu, 11 Feb 2021 21:00:05 GMT",
<http://web.archive.org/web/20210218163324/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Thu, 18 Feb 2021 16:33:24 GMT",
<http://web.archive.org/web/20210226012905/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Fri, 26 Feb 2021 01:29:05 GMT",
<http://web.archive.org/web/20210319123905/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Fri, 19 Mar 2021 12:39:05 GMT",
<http://web.archive.org/web/20210325112549/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Thu, 25 Mar 2021 11:25:49 GMT",
<http://web.archive.org/web/20210401105008/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Thu, 01 Apr 2021 10:50:08 GMT",
<http://web.archive.org/web/20210409101954/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Fri, 09 Apr 2021 10:19:54 GMT",
<http://web.archive.org/web/20210416013408/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Fri, 16 Apr 2021 01:34:08 GMT",
<http://web.archive.org/web/20210423014406/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Fri, 23 Apr 2021 01:44:06 GMT",
<http://web.archive.org/web/20210428191254/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Wed, 28 Apr 2021 19:12:54 GMT",
<http://web.archive.org/web/20210516053444/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Sun, 16 May 2021 05:34:44 GMT",
<http://web.archive.org/web/20210604040509/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Fri, 04 Jun 2021 04:05:09 GMT",
<http://web.archive.org/web/20210610091104/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Thu, 10 Jun 2021 09:11:04 GMT",
<http://web.archive.org/web/20210623145203/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Wed, 23 Jun 2021 14:52:03 GMT",
<http://web.archive.org/web/20220315081123/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Tue, 15 Mar 2022 08:11:23 GMT",
