<https://secure.winred.com/CarolMiller/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/CarolMiller/donate>; rel="self"; type="application/link-format"; from="Wed, 24 Jun 2020 07:17:39 GMT",
<http://web.archive.org/web/https://secure.winred.com/CarolMiller/donate>; rel="timegate",
<http://web.archive.org/web/20201116095856/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:58:56 GMT",
<http://web.archive.org/web/20201116095857/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:58:57 GMT",
<http://web.archive.org/web/20201116095858/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:58:58 GMT",
<http://web.archive.org/web/20201116095859/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:58:59 GMT",
<http://web.archive.org/web/20201116095904/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:59:04 GMT",
<http://web.archive.org/web/20201116095905/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:59:05 GMT",
<http://web.archive.org/web/20201116095906/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:59:06 GMT",
<http://web.archive.org/web/20201116095907/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:59:07 GMT",
<http://web.archive.org/web/20201116095908/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:59:08 GMT",
<http://web.archive.org/web/20201116095910/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:59:10 GMT",
<http://web.archive.org/web/20201116095911/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:59:11 GMT",
<http://web.archive.org/web/20201116095912/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:59:12 GMT",
<http://web.archive.org/web/20201116095913/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:59:13 GMT",
<http://web.archive.org/web/20201213102954/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 10:29:54 GMT",
<http://web.archive.org/web/20210112205551/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Tue, 12 Jan 2021 20:55:51 GMT",
<http://web.archive.org/web/20210112205552/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Tue, 12 Jan 2021 20:55:52 GMT",
<http://web.archive.org/web/20210119215948/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Tue, 19 Jan 2021 21:59:48 GMT",
<http://web.archive.org/web/20210119215949/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Tue, 19 Jan 2021 21:59:49 GMT",
<http://web.archive.org/web/20210508182154/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Sat, 08 May 2021 18:21:54 GMT",
