<https://secure.actblue.com/donate/jb-web-finalstretch>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="self"; type="application/link-format"; from="Thu, 11 Jun 2020 12:26:02 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="timegate",
<http://web.archive.org/web/20210218163617/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Thu, 18 Feb 2021 16:36:17 GMT",
<http://web.archive.org/web/20210223150911/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Tue, 23 Feb 2021 15:09:11 GMT",
<http://web.archive.org/web/20210226013201/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Fri, 26 Feb 2021 01:32:01 GMT",
<http://web.archive.org/web/20210312220956/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Fri, 12 Mar 2021 22:09:56 GMT",
<http://web.archive.org/web/20210319124540/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Fri, 19 Mar 2021 12:45:40 GMT",
<http://web.archive.org/web/20210325113214/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Thu, 25 Mar 2021 11:32:14 GMT",
<http://web.archive.org/web/20210401105252/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Thu, 01 Apr 2021 10:52:52 GMT",
<http://web.archive.org/web/20210409102245/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Fri, 09 Apr 2021 10:22:45 GMT",
<http://web.archive.org/web/20210416013959/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Fri, 16 Apr 2021 01:39:59 GMT",
<http://web.archive.org/web/20210423015051/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Fri, 23 Apr 2021 01:50:51 GMT",
<http://web.archive.org/web/20210428191512/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Wed, 28 Apr 2021 19:15:12 GMT",
<http://web.archive.org/web/20210509075245/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Sun, 09 May 2021 07:52:45 GMT",
<http://web.archive.org/web/20210514012845/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Fri, 14 May 2021 01:28:45 GMT",
<http://web.archive.org/web/20210516054221/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Sun, 16 May 2021 05:42:21 GMT",
<http://web.archive.org/web/20210525183649/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Tue, 25 May 2021 18:36:49 GMT",
<http://web.archive.org/web/20210604040842/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Fri, 04 Jun 2021 04:08:42 GMT",
<http://web.archive.org/web/20210610091335/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Thu, 10 Jun 2021 09:13:35 GMT",
<http://web.archive.org/web/20210623145503/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Wed, 23 Jun 2021 14:55:03 GMT",
<http://web.archive.org/web/20210628184739/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Mon, 28 Jun 2021 18:47:39 GMT",
<http://web.archive.org/web/20211008061725/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Fri, 08 Oct 2021 06:17:25 GMT",
<http://web.archive.org/web/20211017065717/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Sun, 17 Oct 2021 06:57:17 GMT",
<http://web.archive.org/web/20211017202848/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Sun, 17 Oct 2021 20:28:48 GMT",
<http://web.archive.org/web/20211019210603/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Tue, 19 Oct 2021 21:06:03 GMT",
<http://web.archive.org/web/20211020083718/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Wed, 20 Oct 2021 08:37:18 GMT",
<http://web.archive.org/web/20220217041043/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Thu, 17 Feb 2022 04:10:43 GMT",
