<https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="self"; type="application/link-format"; from="Sat, 26 Sep 2020 12:31:23 GMT",
<http://web.archive.org/web/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="timegate",
<http://web.archive.org/web/20201121062027/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sat, 21 Nov 2020 06:20:27 GMT",
<http://web.archive.org/web/20201121130521/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sat, 21 Nov 2020 13:05:21 GMT",
<http://web.archive.org/web/20201121214301/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sat, 21 Nov 2020 21:43:01 GMT",
<http://web.archive.org/web/20201122000510/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sun, 22 Nov 2020 00:05:10 GMT",
<http://web.archive.org/web/20201122074147/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sun, 22 Nov 2020 07:41:47 GMT",
<http://web.archive.org/web/20201122192019/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sun, 22 Nov 2020 19:20:19 GMT",
<http://web.archive.org/web/20201122193124/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sun, 22 Nov 2020 19:31:24 GMT",
<http://web.archive.org/web/20201127005545/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Fri, 27 Nov 2020 00:55:45 GMT",
<http://web.archive.org/web/20201212181436/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sat, 12 Dec 2020 18:14:36 GMT",
<http://web.archive.org/web/20210102022311/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sat, 02 Jan 2021 02:23:11 GMT",
<http://web.archive.org/web/20210102022316/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sat, 02 Jan 2021 02:23:16 GMT",
<http://web.archive.org/web/20210123210911/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sat, 23 Jan 2021 21:09:11 GMT",
<http://web.archive.org/web/20210304223500/http://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Thu, 04 Mar 2021 22:35:00 GMT",
<http://web.archive.org/web/20210309232059/http://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Tue, 09 Mar 2021 23:20:59 GMT",
<http://web.archive.org/web/20210312120108/http://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Fri, 12 Mar 2021 12:01:08 GMT",
<http://web.archive.org/web/20210423085142/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Fri, 23 Apr 2021 08:51:42 GMT",
<http://web.archive.org/web/20210509041811/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sun, 09 May 2021 04:18:11 GMT",
<http://web.archive.org/web/20210518082342/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Tue, 18 May 2021 08:23:42 GMT",
<http://web.archive.org/web/20210613054413/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sun, 13 Jun 2021 05:44:13 GMT",
<http://web.archive.org/web/20210801193839/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sun, 01 Aug 2021 19:38:39 GMT",
<http://web.archive.org/web/20220127204951/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Thu, 27 Jan 2022 20:49:51 GMT",
<http://web.archive.org/web/20220307102008/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Mon, 07 Mar 2022 10:20:08 GMT",
