<https://secure.winred.com/ralphnorman/contribute>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/ralphnorman/contribute>; rel="self"; type="application/link-format"; from="Wed, 18 Mar 2020 19:49:14 GMT",
<http://web.archive.org/web/https://secure.winred.com/ralphnorman/contribute>; rel="timegate",
<http://web.archive.org/web/20201007042350/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 07 Oct 2020 04:23:50 GMT",
<http://web.archive.org/web/20201014023226/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 14 Oct 2020 02:32:26 GMT",
<http://web.archive.org/web/20201014023227/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 14 Oct 2020 02:32:27 GMT",
<http://web.archive.org/web/20201014023229/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 14 Oct 2020 02:32:29 GMT",
<http://web.archive.org/web/20201021043305/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 21 Oct 2020 04:33:05 GMT",
<http://web.archive.org/web/20201021043307/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 21 Oct 2020 04:33:07 GMT",
<http://web.archive.org/web/20201021043309/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 21 Oct 2020 04:33:09 GMT",
<http://web.archive.org/web/20201027083732/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 27 Oct 2020 08:37:32 GMT",
<http://web.archive.org/web/20201027191742/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 27 Oct 2020 19:17:42 GMT",
<http://web.archive.org/web/20201027191744/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 27 Oct 2020 19:17:44 GMT",
<http://web.archive.org/web/20201103214510/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 03 Nov 2020 21:45:10 GMT",
<http://web.archive.org/web/20201103214514/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 03 Nov 2020 21:45:14 GMT",
<http://web.archive.org/web/20201103214516/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 03 Nov 2020 21:45:16 GMT",
<http://web.archive.org/web/20201109055351/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Mon, 09 Nov 2020 05:53:51 GMT",
<http://web.archive.org/web/20201109055404/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Mon, 09 Nov 2020 05:54:04 GMT",
<http://web.archive.org/web/20201109055440/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Mon, 09 Nov 2020 05:54:40 GMT",
<http://web.archive.org/web/20201109055614/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Mon, 09 Nov 2020 05:56:14 GMT",
<http://web.archive.org/web/20201111030246/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 11 Nov 2020 03:02:46 GMT",
<http://web.archive.org/web/20201111030250/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 11 Nov 2020 03:02:50 GMT",
<http://web.archive.org/web/20201111030254/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 11 Nov 2020 03:02:54 GMT",
<http://web.archive.org/web/20201117221040/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 17 Nov 2020 22:10:40 GMT",
<http://web.archive.org/web/20201117221043/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 17 Nov 2020 22:10:43 GMT",
<http://web.archive.org/web/20201117221044/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 17 Nov 2020 22:10:44 GMT",
<http://web.archive.org/web/20201120144406/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Fri, 20 Nov 2020 14:44:06 GMT",
<http://web.archive.org/web/20201125033249/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 25 Nov 2020 03:32:49 GMT",
<http://web.archive.org/web/20201125033252/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 25 Nov 2020 03:32:52 GMT",
<http://web.archive.org/web/20201125033254/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 25 Nov 2020 03:32:54 GMT",
<http://web.archive.org/web/20201125102149/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 25 Nov 2020 10:21:49 GMT",
<http://web.archive.org/web/20201201211300/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 01 Dec 2020 21:13:00 GMT",
<http://web.archive.org/web/20201201211303/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 01 Dec 2020 21:13:03 GMT",
<http://web.archive.org/web/20201201211305/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 01 Dec 2020 21:13:05 GMT",
<http://web.archive.org/web/20201209001106/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 09 Dec 2020 00:11:06 GMT",
<http://web.archive.org/web/20201209001108/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 09 Dec 2020 00:11:08 GMT",
<http://web.archive.org/web/20201209001110/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 09 Dec 2020 00:11:10 GMT",
<http://web.archive.org/web/20201213084711/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Sun, 13 Dec 2020 08:47:11 GMT",
<http://web.archive.org/web/20201215222142/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 15 Dec 2020 22:21:42 GMT",
<http://web.archive.org/web/20201215222145/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 15 Dec 2020 22:21:45 GMT",
<http://web.archive.org/web/20201215222146/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 15 Dec 2020 22:21:46 GMT",
<http://web.archive.org/web/20201222200234/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 22 Dec 2020 20:02:34 GMT",
<http://web.archive.org/web/20201222200238/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 22 Dec 2020 20:02:38 GMT",
<http://web.archive.org/web/20201222200239/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 22 Dec 2020 20:02:39 GMT",
<http://web.archive.org/web/20201229205459/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 29 Dec 2020 20:54:59 GMT",
<http://web.archive.org/web/20201229205502/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 29 Dec 2020 20:55:02 GMT",
<http://web.archive.org/web/20201229205503/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 29 Dec 2020 20:55:03 GMT",
<http://web.archive.org/web/20210105223706/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 05 Jan 2021 22:37:06 GMT",
<http://web.archive.org/web/20210105223713/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 05 Jan 2021 22:37:13 GMT",
<http://web.archive.org/web/20210105223715/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 05 Jan 2021 22:37:15 GMT",
<http://web.archive.org/web/20210113010924/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 13 Jan 2021 01:09:24 GMT",
<http://web.archive.org/web/20210113010928/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 13 Jan 2021 01:09:28 GMT",
<http://web.archive.org/web/20210113010930/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 13 Jan 2021 01:09:30 GMT",
<http://web.archive.org/web/20210119215626/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 19 Jan 2021 21:56:26 GMT",
<http://web.archive.org/web/20210119215628/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 19 Jan 2021 21:56:28 GMT",
<http://web.archive.org/web/20210119215630/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 19 Jan 2021 21:56:30 GMT",
<http://web.archive.org/web/20210125094137/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Mon, 25 Jan 2021 09:41:37 GMT",
<http://web.archive.org/web/20210225071317/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Thu, 25 Feb 2021 07:13:17 GMT",
<http://web.archive.org/web/20210416222834/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Fri, 16 Apr 2021 22:28:34 GMT",
<http://web.archive.org/web/20210508201442/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Sat, 08 May 2021 20:14:42 GMT",
<http://web.archive.org/web/20210513223854/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Thu, 13 May 2021 22:38:54 GMT",
<http://web.archive.org/web/20210518065504/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Tue, 18 May 2021 06:55:04 GMT",
