<https://secure.winred.com/tony-gonzales/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/tony-gonzales/donate>; rel="self"; type="application/link-format"; from="Thu, 11 Jun 2020 16:48:20 GMT",
<http://web.archive.org/web/https://secure.winred.com/tony-gonzales/donate>; rel="timegate",
<http://web.archive.org/web/20201113082749/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Fri, 13 Nov 2020 08:27:49 GMT",
<http://web.archive.org/web/20201113082753/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Fri, 13 Nov 2020 08:27:53 GMT",
<http://web.archive.org/web/20201113082756/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Fri, 13 Nov 2020 08:27:56 GMT",
<http://web.archive.org/web/20201113082809/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Fri, 13 Nov 2020 08:28:09 GMT",
<http://web.archive.org/web/20201113082815/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Fri, 13 Nov 2020 08:28:15 GMT",
<http://web.archive.org/web/20201113082817/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Fri, 13 Nov 2020 08:28:17 GMT",
<http://web.archive.org/web/20201114044633/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 04:46:33 GMT",
<http://web.archive.org/web/20201114044912/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 04:49:12 GMT",
<http://web.archive.org/web/20201115042932/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 04:29:32 GMT",
<http://web.archive.org/web/20201115055012/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 05:50:12 GMT",
<http://web.archive.org/web/20201122060916/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Sun, 22 Nov 2020 06:09:16 GMT",
<http://web.archive.org/web/20201122061115/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Sun, 22 Nov 2020 06:11:15 GMT",
<http://web.archive.org/web/20201122063021/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Sun, 22 Nov 2020 06:30:21 GMT",
<http://web.archive.org/web/20201125224032/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Wed, 25 Nov 2020 22:40:32 GMT",
<http://web.archive.org/web/20201126092309/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Thu, 26 Nov 2020 09:23:09 GMT",
<http://web.archive.org/web/20201130165845/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Mon, 30 Nov 2020 16:58:45 GMT",
<http://web.archive.org/web/20201213092910/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 09:29:10 GMT",
<http://web.archive.org/web/20210307083513/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Sun, 07 Mar 2021 08:35:13 GMT",
<http://web.archive.org/web/20210331035307/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 03:53:07 GMT",
<http://web.archive.org/web/20210508070346/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Sat, 08 May 2021 07:03:46 GMT",
<http://web.archive.org/web/20210508191004/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Sat, 08 May 2021 19:10:04 GMT",
<http://web.archive.org/web/20210606014954/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Sun, 06 Jun 2021 01:49:54 GMT",
<http://web.archive.org/web/20211017072058/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Sun, 17 Oct 2021 07:20:58 GMT",
<http://web.archive.org/web/20211017210004/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Sun, 17 Oct 2021 21:00:04 GMT",
<http://web.archive.org/web/20211019212203/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Tue, 19 Oct 2021 21:22:03 GMT",
<http://web.archive.org/web/20211028164327/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Thu, 28 Oct 2021 16:43:27 GMT",
<http://web.archive.org/web/20211028165027/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Thu, 28 Oct 2021 16:50:27 GMT",
