<https://secure.actblue.com/donate/hiraltipirneni>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/hiraltipirneni>; rel="self"; type="application/link-format"; from="Sat, 20 Apr 2019 06:07:45 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/hiraltipirneni>; rel="timegate",
<http://web.archive.org/web/20201101015518/http://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Sun, 01 Nov 2020 01:55:18 GMT",
<http://web.archive.org/web/20201101025152/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Sun, 01 Nov 2020 02:51:52 GMT",
<http://web.archive.org/web/20201101032109/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Sun, 01 Nov 2020 03:21:09 GMT",
<http://web.archive.org/web/20201101064112/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Sun, 01 Nov 2020 06:41:12 GMT",
<http://web.archive.org/web/20201111042109/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Wed, 11 Nov 2020 04:21:09 GMT",
<http://web.archive.org/web/20201114203255/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Sat, 14 Nov 2020 20:32:55 GMT",
<http://web.archive.org/web/20201115024851/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Sun, 15 Nov 2020 02:48:51 GMT",
<http://web.archive.org/web/20201115055553/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Sun, 15 Nov 2020 05:55:53 GMT",
<http://web.archive.org/web/20201116065223/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Mon, 16 Nov 2020 06:52:23 GMT",
<http://web.archive.org/web/20201116184046/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Mon, 16 Nov 2020 18:40:46 GMT",
<http://web.archive.org/web/20201118022049/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Wed, 18 Nov 2020 02:20:49 GMT",
<http://web.archive.org/web/20201118052358/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Wed, 18 Nov 2020 05:23:58 GMT",
<http://web.archive.org/web/20201118154739/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Wed, 18 Nov 2020 15:47:39 GMT",
<http://web.archive.org/web/20201121150234/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Sat, 21 Nov 2020 15:02:34 GMT",
<http://web.archive.org/web/20201205103644/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Sat, 05 Dec 2020 10:36:44 GMT",
<http://web.archive.org/web/20201212050357/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Sat, 12 Dec 2020 05:03:57 GMT",
<http://web.archive.org/web/20210509115123/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Sun, 09 May 2021 11:51:23 GMT",
