<http://www.mikekellyforcongress.com/contribute/>; rel="original",
<http://web.archive.org/web/timemap/link/https://www.mikekellyforcongress.com/contribute/>; rel="self"; type="application/link-format"; from="Fri, 30 Jul 2010 04:28:48 GMT",
<http://web.archive.org/web/https://www.mikekellyforcongress.com/contribute/>; rel="timegate",
<http://web.archive.org/web/20100819184559/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Thu, 19 Aug 2010 18:45:59 GMT",
<http://web.archive.org/web/20100819184749/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Thu, 19 Aug 2010 18:47:49 GMT",
<http://web.archive.org/web/20100826190610/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Thu, 26 Aug 2010 19:06:10 GMT",
<http://web.archive.org/web/20100826190610/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Thu, 26 Aug 2010 19:06:10 GMT",
<http://web.archive.org/web/20100826190820/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Thu, 26 Aug 2010 19:08:20 GMT",
<http://web.archive.org/web/20100826190820/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Thu, 26 Aug 2010 19:08:20 GMT",
<http://web.archive.org/web/20101001000203/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Fri, 01 Oct 2010 00:02:03 GMT",
<http://web.archive.org/web/20101001000359/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Fri, 01 Oct 2010 00:03:59 GMT",
<http://web.archive.org/web/20101008004137/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Fri, 08 Oct 2010 00:41:37 GMT",
<http://web.archive.org/web/20101008015654/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Fri, 08 Oct 2010 01:56:54 GMT",
<http://web.archive.org/web/20101008015738/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Fri, 08 Oct 2010 01:57:38 GMT",
<http://web.archive.org/web/20101008015746/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Fri, 08 Oct 2010 01:57:46 GMT",
<http://web.archive.org/web/20101014221853/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Thu, 14 Oct 2010 22:18:53 GMT",
<http://web.archive.org/web/20101014221904/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Thu, 14 Oct 2010 22:19:04 GMT",
<http://web.archive.org/web/20101015155358/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Fri, 15 Oct 2010 15:53:58 GMT",
<http://web.archive.org/web/20101015155430/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Fri, 15 Oct 2010 15:54:30 GMT",
<http://web.archive.org/web/20101021191545/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Thu, 21 Oct 2010 19:15:45 GMT",
<http://web.archive.org/web/20101021191755/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Thu, 21 Oct 2010 19:17:55 GMT",
<http://web.archive.org/web/20101028214856/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Thu, 28 Oct 2010 21:48:56 GMT",
<http://web.archive.org/web/20101028215052/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Thu, 28 Oct 2010 21:50:52 GMT",
<http://web.archive.org/web/20101104200727/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Thu, 04 Nov 2010 20:07:27 GMT",
<http://web.archive.org/web/20101104201046/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Thu, 04 Nov 2010 20:10:46 GMT",
<http://web.archive.org/web/20101111172251/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Thu, 11 Nov 2010 17:22:51 GMT",
<http://web.archive.org/web/20101111172438/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Thu, 11 Nov 2010 17:24:38 GMT",
<http://web.archive.org/web/20101118091802/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Thu, 18 Nov 2010 09:18:02 GMT",
<http://web.archive.org/web/20101118091954/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Thu, 18 Nov 2010 09:19:54 GMT",
<http://web.archive.org/web/20101125094549/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Thu, 25 Nov 2010 09:45:49 GMT",
<http://web.archive.org/web/20101125094726/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Thu, 25 Nov 2010 09:47:26 GMT",
<http://web.archive.org/web/20101202174011/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Thu, 02 Dec 2010 17:40:11 GMT",
<http://web.archive.org/web/20101202174157/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Thu, 02 Dec 2010 17:41:57 GMT",
<http://web.archive.org/web/20110118060704/http://www.mikekellyforcongress.com:80/contribute>; rel="memento"; datetime="Tue, 18 Jan 2011 06:07:04 GMT",
<http://web.archive.org/web/20110118060704/http://www.mikekellyforcongress.com:80/contribute/>; rel="memento"; datetime="Tue, 18 Jan 2011 06:07:04 GMT",
<http://web.archive.org/web/20110119102733/http://www.mikekellyforcongress.com:80/contribute>; rel="memento"; datetime="Wed, 19 Jan 2011 10:27:33 GMT",
<http://web.archive.org/web/20110119102733/http://www.mikekellyforcongress.com:80/contribute/>; rel="memento"; datetime="Wed, 19 Jan 2011 10:27:33 GMT",
<http://web.archive.org/web/20150402032208/http://www.mikekellyforcongress.com:80/contribute/>; rel="memento"; datetime="Thu, 02 Apr 2015 03:22:08 GMT",
<http://web.archive.org/web/20150518175706/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Mon, 18 May 2015 17:57:06 GMT",
<http://web.archive.org/web/20150622060159/http://www.mikekellyforcongress.com:80/contribute/>; rel="memento"; datetime="Mon, 22 Jun 2015 06:01:59 GMT",
<http://web.archive.org/web/20160131131208/http://www.mikekellyforcongress.com:80/contribute/>; rel="memento"; datetime="Sun, 31 Jan 2016 13:12:08 GMT",
<http://web.archive.org/web/20160201042300/http://www.mikekellyforcongress.com:80/contribute/>; rel="memento"; datetime="Mon, 01 Feb 2016 04:23:00 GMT",
<http://web.archive.org/web/20160313021817/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Sun, 13 Mar 2016 02:18:17 GMT",
<http://web.archive.org/web/20160402171141/http://www.mikekellyforcongress.com:80/contribute/>; rel="memento"; datetime="Sat, 02 Apr 2016 17:11:41 GMT",
<http://web.archive.org/web/20160605114313/http://www.mikekellyforcongress.com:80/contribute/>; rel="memento"; datetime="Sun, 05 Jun 2016 11:43:13 GMT",
<http://web.archive.org/web/20160911172309/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Sun, 11 Sep 2016 17:23:09 GMT",
<http://web.archive.org/web/20160923203738/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Fri, 23 Sep 2016 20:37:38 GMT",
<http://web.archive.org/web/20161006191924/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Thu, 06 Oct 2016 19:19:24 GMT",
<http://web.archive.org/web/20161011224533/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Tue, 11 Oct 2016 22:45:33 GMT",
<http://web.archive.org/web/20161019180204/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Wed, 19 Oct 2016 18:02:04 GMT",
<http://web.archive.org/web/20161029010809/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Sat, 29 Oct 2016 01:08:09 GMT",
<http://web.archive.org/web/20161107122403/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Mon, 07 Nov 2016 12:24:03 GMT",
<http://web.archive.org/web/20170530115135/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Tue, 30 May 2017 11:51:35 GMT",
<http://web.archive.org/web/20181003133427/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Wed, 03 Oct 2018 13:34:27 GMT",
<http://web.archive.org/web/20181003134904/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Wed, 03 Oct 2018 13:49:04 GMT",
<http://web.archive.org/web/20181003134905/https://www.mikekellyforcongress.com//contribute/>; rel="memento"; datetime="Wed, 03 Oct 2018 13:49:05 GMT",
<http://web.archive.org/web/20181005210127/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Fri, 05 Oct 2018 21:01:27 GMT",
<http://web.archive.org/web/20181005211744/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Fri, 05 Oct 2018 21:17:44 GMT",
<http://web.archive.org/web/20181005211745/https://www.mikekellyforcongress.com//contribute/>; rel="memento"; datetime="Fri, 05 Oct 2018 21:17:45 GMT",
<http://web.archive.org/web/20181017154906/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Wed, 17 Oct 2018 15:49:06 GMT",
<http://web.archive.org/web/20181017155926/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Wed, 17 Oct 2018 15:59:26 GMT",
<http://web.archive.org/web/20181108160418/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Thu, 08 Nov 2018 16:04:18 GMT",
<http://web.archive.org/web/20181108160904/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Thu, 08 Nov 2018 16:09:04 GMT",
<http://web.archive.org/web/20191104233157/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Mon, 04 Nov 2019 23:31:57 GMT",
<http://web.archive.org/web/20200814134557/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Fri, 14 Aug 2020 13:45:57 GMT",
<http://web.archive.org/web/20200817051817/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Mon, 17 Aug 2020 05:18:17 GMT",
<http://web.archive.org/web/20200919115804/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Sat, 19 Sep 2020 11:58:04 GMT",
<http://web.archive.org/web/20201109064844/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Mon, 09 Nov 2020 06:48:44 GMT",
<http://web.archive.org/web/20201109064908/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Mon, 09 Nov 2020 06:49:08 GMT",
<http://web.archive.org/web/20201109064909/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Mon, 09 Nov 2020 06:49:09 GMT",
<http://web.archive.org/web/20201109064952/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Mon, 09 Nov 2020 06:49:52 GMT",
<http://web.archive.org/web/20201109064953/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Mon, 09 Nov 2020 06:49:53 GMT",
<http://web.archive.org/web/20201128222245/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Sat, 28 Nov 2020 22:22:45 GMT",
<http://web.archive.org/web/20201213083545/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Sun, 13 Dec 2020 08:35:45 GMT",
<http://web.archive.org/web/20210121043943/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Thu, 21 Jan 2021 04:39:43 GMT",
<http://web.archive.org/web/20210227122456/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Sat, 27 Feb 2021 12:24:56 GMT",
<http://web.archive.org/web/20210413162049/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Tue, 13 Apr 2021 16:20:49 GMT",
<http://web.archive.org/web/20210512080840/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Wed, 12 May 2021 08:08:40 GMT",
<http://web.archive.org/web/20211021100141/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Thu, 21 Oct 2021 10:01:41 GMT",
<http://web.archive.org/web/20211022223413/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Fri, 22 Oct 2021 22:34:13 GMT",
<http://web.archive.org/web/20211023115246/https://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Sat, 23 Oct 2021 11:52:46 GMT",
