<https://secure.winred.com/paul-gosar-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="self"; type="application/link-format"; from="Mon, 14 Oct 2019 02:47:17 GMT",
<http://web.archive.org/web/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20210509031932/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Sun, 09 May 2021 03:19:32 GMT",
<http://web.archive.org/web/20210629055520/http://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Tue, 29 Jun 2021 05:55:20 GMT",
<http://web.archive.org/web/20210719225309/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Mon, 19 Jul 2021 22:53:09 GMT",
<http://web.archive.org/web/20210721150527/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Wed, 21 Jul 2021 15:05:27 GMT",
<http://web.archive.org/web/20210913051431/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Mon, 13 Sep 2021 05:14:31 GMT",
<http://web.archive.org/web/20210927190940/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Mon, 27 Sep 2021 19:09:40 GMT",
<http://web.archive.org/web/20210929142934/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Wed, 29 Sep 2021 14:29:34 GMT",
<http://web.archive.org/web/20211006142436/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Wed, 06 Oct 2021 14:24:36 GMT",
<http://web.archive.org/web/20211013142508/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Wed, 13 Oct 2021 14:25:08 GMT",
<http://web.archive.org/web/20211020144128/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 14:41:28 GMT",
<http://web.archive.org/web/20211021175714/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Thu, 21 Oct 2021 17:57:14 GMT",
<http://web.archive.org/web/20211023200015/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Sat, 23 Oct 2021 20:00:15 GMT",
<http://web.archive.org/web/20211027155006/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Wed, 27 Oct 2021 15:50:06 GMT",
<http://web.archive.org/web/20211027225617/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Wed, 27 Oct 2021 22:56:17 GMT",
<http://web.archive.org/web/20211103144017/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Wed, 03 Nov 2021 14:40:17 GMT",
<http://web.archive.org/web/20211110141710/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Wed, 10 Nov 2021 14:17:10 GMT",
<http://web.archive.org/web/20211117143712/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Wed, 17 Nov 2021 14:37:12 GMT",
<http://web.archive.org/web/20211124141659/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Wed, 24 Nov 2021 14:16:59 GMT",
<http://web.archive.org/web/20211201142506/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Wed, 01 Dec 2021 14:25:06 GMT",
<http://web.archive.org/web/20211208144325/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Wed, 08 Dec 2021 14:43:25 GMT",
<http://web.archive.org/web/20211215134803/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Wed, 15 Dec 2021 13:48:03 GMT",
<http://web.archive.org/web/20211222142846/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Wed, 22 Dec 2021 14:28:46 GMT",
<http://web.archive.org/web/20211229142600/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Wed, 29 Dec 2021 14:26:00 GMT",
<http://web.archive.org/web/20220105141815/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Wed, 05 Jan 2022 14:18:15 GMT",
<http://web.archive.org/web/20220112144002/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Wed, 12 Jan 2022 14:40:02 GMT",
