<https://secure.actblue.com/donate/shahidforchange/>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/shahidforchange>; rel="self"; type="application/link-format"; from="Wed, 22 May 2019 04:41:10 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/shahidforchange>; rel="timegate",
<http://web.archive.org/web/20200409071925/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Thu, 09 Apr 2020 07:19:25 GMT",
<http://web.archive.org/web/20200409095731/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Thu, 09 Apr 2020 09:57:31 GMT",
<http://web.archive.org/web/20200410151424/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Fri, 10 Apr 2020 15:14:24 GMT",
<http://web.archive.org/web/20200417004109/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Fri, 17 Apr 2020 00:41:09 GMT",
<http://web.archive.org/web/20200417004113/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Fri, 17 Apr 2020 00:41:13 GMT",
<http://web.archive.org/web/20200513131720/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Wed, 13 May 2020 13:17:20 GMT",
<http://web.archive.org/web/20200519210707/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Tue, 19 May 2020 21:07:07 GMT",
<http://web.archive.org/web/20200520185341/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Wed, 20 May 2020 18:53:41 GMT",
<http://web.archive.org/web/20200619095422/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Fri, 19 Jun 2020 09:54:22 GMT",
<http://web.archive.org/web/20200621122725/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Sun, 21 Jun 2020 12:27:25 GMT",
<http://web.archive.org/web/20200621122930/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Sun, 21 Jun 2020 12:29:30 GMT",
<http://web.archive.org/web/20200624190736/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Wed, 24 Jun 2020 19:07:36 GMT",
<http://web.archive.org/web/20200626174621/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Fri, 26 Jun 2020 17:46:21 GMT",
<http://web.archive.org/web/20200630103046/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Tue, 30 Jun 2020 10:30:46 GMT",
<http://web.archive.org/web/20200630230620/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Tue, 30 Jun 2020 23:06:20 GMT",
<http://web.archive.org/web/20200711041745/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Sat, 11 Jul 2020 04:17:45 GMT",
<http://web.archive.org/web/20200711041746/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Sat, 11 Jul 2020 04:17:46 GMT",
<http://web.archive.org/web/20200721042730/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Tue, 21 Jul 2020 04:27:30 GMT",
<http://web.archive.org/web/20200721053657/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Tue, 21 Jul 2020 05:36:57 GMT",
<http://web.archive.org/web/20200721061531/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Tue, 21 Jul 2020 06:15:31 GMT",
<http://web.archive.org/web/20200721195527/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Tue, 21 Jul 2020 19:55:27 GMT",
<http://web.archive.org/web/20200722210419/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Wed, 22 Jul 2020 21:04:19 GMT",
<http://web.archive.org/web/20200809041856/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Sun, 09 Aug 2020 04:18:56 GMT",
<http://web.archive.org/web/20200810173011/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Mon, 10 Aug 2020 17:30:11 GMT",
<http://web.archive.org/web/20200815224434/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Sat, 15 Aug 2020 22:44:34 GMT",
<http://web.archive.org/web/20200816123140/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Sun, 16 Aug 2020 12:31:40 GMT",
<http://web.archive.org/web/20200816205137/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Sun, 16 Aug 2020 20:51:37 GMT",
<http://web.archive.org/web/20200817133736/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Mon, 17 Aug 2020 13:37:36 GMT",
<http://web.archive.org/web/20200817133737/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Mon, 17 Aug 2020 13:37:37 GMT",
<http://web.archive.org/web/20200817133739/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Mon, 17 Aug 2020 13:37:39 GMT",
<http://web.archive.org/web/20200817133741/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Mon, 17 Aug 2020 13:37:41 GMT",
<http://web.archive.org/web/20200823192822/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Sun, 23 Aug 2020 19:28:22 GMT",
<http://web.archive.org/web/20200827175439/http://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Thu, 27 Aug 2020 17:54:39 GMT",
<http://web.archive.org/web/20200904022242/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Fri, 04 Sep 2020 02:22:42 GMT",
<http://web.archive.org/web/20200904043553/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Fri, 04 Sep 2020 04:35:53 GMT",
<http://web.archive.org/web/20200924074152/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Thu, 24 Sep 2020 07:41:52 GMT",
<http://web.archive.org/web/20200930192142/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Wed, 30 Sep 2020 19:21:42 GMT",
<http://web.archive.org/web/20201003074310/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Sat, 03 Oct 2020 07:43:10 GMT",
<http://web.archive.org/web/20201003193830/http://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Sat, 03 Oct 2020 19:38:30 GMT",
<http://web.archive.org/web/20201003212431/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Sat, 03 Oct 2020 21:24:31 GMT",
<http://web.archive.org/web/20201023103744/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Fri, 23 Oct 2020 10:37:44 GMT",
<http://web.archive.org/web/20201027123658/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Tue, 27 Oct 2020 12:36:58 GMT",
<http://web.archive.org/web/20201029084009/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Thu, 29 Oct 2020 08:40:09 GMT",
<http://web.archive.org/web/20201029084026/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Thu, 29 Oct 2020 08:40:26 GMT",
<http://web.archive.org/web/20201029084036/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Thu, 29 Oct 2020 08:40:36 GMT",
<http://web.archive.org/web/20201029084053/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Thu, 29 Oct 2020 08:40:53 GMT",
<http://web.archive.org/web/20201029084109/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Thu, 29 Oct 2020 08:41:09 GMT",
<http://web.archive.org/web/20201101004106/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Sun, 01 Nov 2020 00:41:06 GMT",
<http://web.archive.org/web/20201101014126/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Sun, 01 Nov 2020 01:41:26 GMT",
<http://web.archive.org/web/20201101025222/http://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Sun, 01 Nov 2020 02:52:22 GMT",
<http://web.archive.org/web/20201101025222/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Sun, 01 Nov 2020 02:52:22 GMT",
<http://web.archive.org/web/20201103034347/http://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Tue, 03 Nov 2020 03:43:47 GMT",
<http://web.archive.org/web/20201103034347/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Tue, 03 Nov 2020 03:43:47 GMT",
<http://web.archive.org/web/20201106034922/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Fri, 06 Nov 2020 03:49:22 GMT",
<http://web.archive.org/web/20201121130822/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Sat, 21 Nov 2020 13:08:22 GMT",
<http://web.archive.org/web/20201122104609/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Sun, 22 Nov 2020 10:46:09 GMT",
<http://web.archive.org/web/20201122135629/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Sun, 22 Nov 2020 13:56:29 GMT",
<http://web.archive.org/web/20201129203936/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Sun, 29 Nov 2020 20:39:36 GMT",
<http://web.archive.org/web/20201205110307/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Sat, 05 Dec 2020 11:03:07 GMT",
<http://web.archive.org/web/20201212052543/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Sat, 12 Dec 2020 05:25:43 GMT",
<http://web.archive.org/web/20201229063931/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Tue, 29 Dec 2020 06:39:31 GMT",
<http://web.archive.org/web/20210114040259/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Thu, 14 Jan 2021 04:02:59 GMT",
<http://web.archive.org/web/20210201010751/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Mon, 01 Feb 2021 01:07:51 GMT",
<http://web.archive.org/web/20210415070843/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Thu, 15 Apr 2021 07:08:43 GMT",
<http://web.archive.org/web/20210504143541/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Tue, 04 May 2021 14:35:41 GMT",
<http://web.archive.org/web/20210506054305/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Thu, 06 May 2021 05:43:05 GMT",
<http://web.archive.org/web/20210509113642/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Sun, 09 May 2021 11:36:42 GMT",
<http://web.archive.org/web/20210620193315/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Sun, 20 Jun 2021 19:33:15 GMT",
<http://web.archive.org/web/20210620193322/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Sun, 20 Jun 2021 19:33:22 GMT",
<http://web.archive.org/web/20210621204648/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Mon, 21 Jun 2021 20:46:48 GMT",
<http://web.archive.org/web/20210727223641/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Tue, 27 Jul 2021 22:36:41 GMT",
<http://web.archive.org/web/20210727230929/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Tue, 27 Jul 2021 23:09:29 GMT",
<http://web.archive.org/web/20210810004458/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Tue, 10 Aug 2021 00:44:58 GMT",
<http://web.archive.org/web/20210819134534/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Thu, 19 Aug 2021 13:45:34 GMT",
<http://web.archive.org/web/20210819180800/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Thu, 19 Aug 2021 18:08:00 GMT",
<http://web.archive.org/web/20211017102730/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Sun, 17 Oct 2021 10:27:30 GMT",
<http://web.archive.org/web/20211018005327/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Mon, 18 Oct 2021 00:53:27 GMT",
<http://web.archive.org/web/20211019012136/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Tue, 19 Oct 2021 01:21:36 GMT",
<http://web.archive.org/web/20211020000658/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Wed, 20 Oct 2021 00:06:58 GMT",
<http://web.archive.org/web/20211021041658/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Thu, 21 Oct 2021 04:16:58 GMT",
<http://web.archive.org/web/20211227095509/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Mon, 27 Dec 2021 09:55:09 GMT",
<http://web.archive.org/web/20220118044948/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Tue, 18 Jan 2022 04:49:48 GMT",
<http://web.archive.org/web/20220121055159/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Fri, 21 Jan 2022 05:51:59 GMT",
<http://web.archive.org/web/20220129150025/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Sat, 29 Jan 2022 15:00:25 GMT",
<http://web.archive.org/web/20220202231237/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Wed, 02 Feb 2022 23:12:37 GMT",
