<https://secure.winred.com/joewilson/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/joewilson/donate>; rel="self"; type="application/link-format"; from="Wed, 27 May 2020 04:19:49 GMT",
<http://web.archive.org/web/https://secure.winred.com/joewilson/donate>; rel="timegate",
<http://web.archive.org/web/20201114192822/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:22 GMT",
<http://web.archive.org/web/20201114192825/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:25 GMT",
<http://web.archive.org/web/20201114192827/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:27 GMT",
<http://web.archive.org/web/20201114192828/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:28 GMT",
<http://web.archive.org/web/20201114192829/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:29 GMT",
<http://web.archive.org/web/20201114192831/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:31 GMT",
<http://web.archive.org/web/20201114192832/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:32 GMT",
<http://web.archive.org/web/20201114192833/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:33 GMT",
<http://web.archive.org/web/20201114192834/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:34 GMT",
<http://web.archive.org/web/20201114192835/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:35 GMT",
<http://web.archive.org/web/20201114192836/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:36 GMT",
<http://web.archive.org/web/20201114192837/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:37 GMT",
<http://web.archive.org/web/20201114192838/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:38 GMT",
<http://web.archive.org/web/20201114192839/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:39 GMT",
<http://web.archive.org/web/20201114192840/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:40 GMT",
<http://web.archive.org/web/20201114192841/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:41 GMT",
<http://web.archive.org/web/20201114192842/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:42 GMT",
<http://web.archive.org/web/20201114192843/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:43 GMT",
<http://web.archive.org/web/20201114192844/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:44 GMT",
<http://web.archive.org/web/20201114192845/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:45 GMT",
<http://web.archive.org/web/20201114192846/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:46 GMT",
<http://web.archive.org/web/20201114192847/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:47 GMT",
<http://web.archive.org/web/20201114192848/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 19:28:48 GMT",
<http://web.archive.org/web/20201118125110/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 12:51:10 GMT",
<http://web.archive.org/web/20201121230005/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 21 Nov 2020 23:00:05 GMT",
<http://web.archive.org/web/20201121230011/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 21 Nov 2020 23:00:11 GMT",
<http://web.archive.org/web/20201121230234/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 21 Nov 2020 23:02:34 GMT",
<http://web.archive.org/web/20201122013019/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sun, 22 Nov 2020 01:30:19 GMT",
<http://web.archive.org/web/20201123221422/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Mon, 23 Nov 2020 22:14:22 GMT",
<http://web.archive.org/web/20201123221432/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Mon, 23 Nov 2020 22:14:32 GMT",
<http://web.archive.org/web/20201127230832/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Fri, 27 Nov 2020 23:08:32 GMT",
<http://web.archive.org/web/20201213084320/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 08:43:20 GMT",
<http://web.archive.org/web/20210127132117/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Wed, 27 Jan 2021 13:21:17 GMT",
<http://web.archive.org/web/20210331040205/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 04:02:05 GMT",
<http://web.archive.org/web/20210416005253/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 00:52:53 GMT",
<http://web.archive.org/web/20210416231801/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 23:18:01 GMT",
<http://web.archive.org/web/20210508202431/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 08 May 2021 20:24:31 GMT",
<http://web.archive.org/web/20210518074310/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Tue, 18 May 2021 07:43:10 GMT",
<http://web.archive.org/web/20211110023914/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Wed, 10 Nov 2021 02:39:14 GMT",
<http://web.archive.org/web/20211218075739/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 18 Dec 2021 07:57:39 GMT",
