name,office,date,text,name_clean,bgimg_trump,bgimg_martial,bgimg_notes,logo_trump,logo_martial,logo_notes,page_payment_request_button_enabled,page_donor_buckets_enabled,organization_uid,organization_name,description,og_title,og_description,og_url,og_site_name,og_locale,og_type,twitter_card,twitter_url,twitter_title,twitter_description,ref_number
Ron Johnson,WI-SEN,4/24/2021,"DONATE TODAY Ron's working hard for Wisconsinites to protect our freedoms, improve the economy and ensure Americans are safe at home and abroad. Will you help him continue his fight by making a donation today?",ron_johnson,0,0,,0,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""text-align: center;""><span style=""font-size: 18pt; color: #00482c;""><strong><span style=""font-family: arial, helvetica, sans-serif;"">DONATE TODAY</span></strong></span></p>
<p style=""text-align: center;""><span style=""font-family: arial, helvetica, sans-serif; color: #000000;"">Ron's working hard for Wisconsinites to protect our freedoms, improve the economy and ensure Americans are safe at home and abroad.</span></p>
<p style=""text-align: center;""><span style=""color: #428544;""><em><strong><span style=""font-family: arial, helvetica, sans-serif;"">Will you help him continue his fight by making a donation today? </span></strong></em></span></p>",Ron Johnson for Wisconsin,Ron's fighting hard for Wisconsinites! Chip in to help him keep up the fight!,https://secure.winred.com/ron-johnson/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/ron-johnson/donate,Ron Johnson for Wisconsin,Ron's fighting hard for Wisconsinites! Chip in to help him keep up the fight!,79
Shelley Capito,WV-SEN,4/24/2021,Senator Shelley Moore Capito is West Virginia's voice in the U.S. Senate. Please donate today.,shelley_capito,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,Senator Shelley Moore Capito is West Virginia's voice in Washington. Donate Today!,Shelley Moore Capito for Senate,Thank you for your support,https://secure.winred.com/shelley-moore-capito/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/shelley-moore-capito/donate,Shelley Moore Capito for Senate,Thank you for your support,80
John Barrasso,WY-SEN,4/24/2021,You can help change Washington by helping fund John Barrasso’s campaign today. Chip in a donation and stand with Senator Barrasso!,john_barrasso,0,0,,0,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,You can help change Washington by helping fund John Barrasso’s campaign today. Chip in a donation and stand with Senator Barrasso!,John Barrasso - Chip in Today,Fighting for the values that make Wyoming great,https://secure.winred.com/barrasso/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/barrasso/donate,John Barrasso - Chip in Today,Fighting for the values that make Wyoming great,81
Don Young,AK-1,4/24/2021,Your contribution is important. It is your constitutional right — your way of supporting the candidate of your choice. I need your support on my re-election campaign. I’ve been humbled by the support so many people have expressed in the past and now. I want to continue to make a difference for Alaska. Help me Stand Up for Alaska! Any dollar contribution will be both appreciated and will go a long way as we travel the campaign trail together!,don_young,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""color: #333333; font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: #ffffff;""><span style=""font-size: 12pt;"">Your contribution is important. It is your constitutional right — your way of supporting the candidate of your choice.</span></p>
<p> </p>
<p style=""color: #333333; font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: #ffffff;""><span style=""font-size: 12pt;""></span></p>
<p style=""color: #333333; font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: #ffffff;""><span style=""font-size: 12pt;"">I need your support on my re-election campaign. I’ve been humbled by the support so many people have expressed in the past and now. I want to continue to make a difference for Alaska.</span></p>
<p> </p>
<p style=""color: #333333; font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: #ffffff;""><span style=""font-size: 12pt;""></span></p>
<p style=""color: #333333; font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: #ffffff;""><span style=""font-size: 12pt;"">Help me Stand Up for Alaska! Any dollar contribution will be both appreciated and will go a long way as we travel the campaign trail together!</span></p>",Alaskans for Don Young,Help me Stand Up for Alaska in Congress! ,https://secure.winred.com/alaskans-for-don-young-inc/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/alaskans-for-don-young-inc/donate,Alaskans for Don Young,Help me Stand Up for Alaska in Congress! ,82
Jerry Carl,AL-1,4/24/2021,We need to re-elect President Trump this November and TAKE BACK the U.S. House! Donate Now to join me in fighting back against socialism!,jerry_carl,0,0,,0,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,Donate today!,Chip In Today,"Nancy Pelosi REFUSES to send the House Democrats’ articles of the impeachment over to the U.S. Senate, and her excuses are as flimsy as the articles themselves. Rush your support now as we fight to TAKE BACK the House in 2020.",https://secure.winred.com/jerry-carl-for-congress/e-socialism-on-the-march-fwd-jan20?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/jerry-carl-for-congress/e-socialism-on-the-march-fwd-jan20,Chip In Today,"Nancy Pelosi REFUSES to send the House Democrats’ articles of the impeachment over to the U.S. Senate, and her excuses are as flimsy as the articles themselves. Rush your support now as we fight to TAKE BACK the House in 2020.",83
Barry Moore,AL-2,4/24/2021,"SEND A TRUE WORKING MAN TO WASHINGTON D.C.Barry MooreAlabama 2nd District As the first elected official in the nation to endorse candidate Donald Trump, Barry has been with the president since August of 2015 – DAY ONE! Many have jumped on the bandwagon but, HE was on the train. Like the president, Barry believes in putting Americans first. As an Army veteran, he believes in putting our servicemen and women, as well as veterans FIRST! As a small business owner, he believes in putting the American taxpayer FIRST! He believes we should build the wall to secure our southern border and our future. A proponent of term limits, he has signed a term limits pledge. He is running to be out front and vocal to defend our president, his family and, most importantly, his agenda of returning our country to greatness. We need more courage and more calloused hands in Washington so let’s send a true working man from Alabama’s District 2.",barry_moore,1,0,,1,0,Logo is BGIMG,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,Barry Moore for Congress Alabama 2,Barry Moore for Congress,Barry Moore for Alabama District 2,https://secure.winred.com/barrymoore/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/barrymoore/donate,#BarryMoore #AL02,Barry Moore Alabama District 2,84
Robert Aderholt,AL-4,4/24/2021,,robert_aderholt,0,0,,0,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,Robert Aderholt for Congress,Aderholt for Alabama,https://secure.winred.com/robert-aderholt-for-congress/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/robert-aderholt-for-congress/donate,Robert Aderholt for Congress,Aderholt for Alabama,85
Gary Palmer,AL-6,4/24/2021,Support Gary Palmer for Congress,gary_palmer,0,0,,0,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""text-align: center;""><span style=""font-size: 18pt;""><strong>Support Gary Palmer for Congress</strong></span></p>",Gary Palmer for Congress,Support Gary Palmer for Congress,https://secure.winred.com/gary-palmer-for-congress/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/gary-palmer-for-congress/donate,Gary Palmer for Congress,Support Gary Palmer for Congress,86
French Hill,AR-2,4/24/2021,Click Here if you would like to donate by check or through the mail.,french_hill,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""text-align: center;""><span style="" color: #0d3b70; font-family: Montserrat, sans-serif; font-size: 19px; background-color: #ffffff; ""><strong><a style="" background-color: transparent; color: #0d3b70;  "" href=""https://assets.nationbuilder.com/electfrench/pages/12/attachments/original/1551117445/French_Hill_For_Congress_Donation_Form_2018.pdf?1551117445"" rel=""nofollow"">Click Here</a></strong></span><span style=""color: #0d3b70; font-family: Montserrat, sans-serif; font-size: 19px; background-color: #ffffff;""> if you would like to donate by check or through the mail. </span></p>",French Hill for Congress,French Hill for Arkansas,https://secure.winred.com/frenchhill/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/frenchhill/donate,French Hill for Congress,French Hill for Arkansas,87
Bruce Westerman,AR-4,4/24/2021,,bruce_westerman,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,Bruce Westerman for Congress,Donate Today to Support Bruce Westerman for Arkansas' 4th Congressional District,https://secure.winred.com/westerman-for-congress/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/westerman-for-congress/donate,Bruce Westerman for Congress,Donate Today to Support Bruce Westerman for Arkansas 4th Congressional District,88
Paul Gosar,AZ-4,4/24/2021,Thank you for your support!,paul_gosar,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""text-align: center;""><br><span style=""font-size: 14pt;"">Thank you for your support!</span></p>",Dr. Paul Gosar for Congress,Thanks for your support! ,https://secure.winred.com/paul-gosar-for-congress/donate,WinRed,en_US,website,summary_large_image,https://secure.winred.com/paul-gosar-for-congress/donate,Dr. Paul Gosar for Congress,Thanks for your support! ,89
Andy Biggs,AZ-5,4/24/2021,,andy_biggs,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,WinRed - Conservatives’ #1 fundraising technology,Thanks for your Support!,https://secure.winred.com/andybiggs/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/andybiggs/donate,WinRed - Conservatives’ #1 fundraising technology,Thanks for your support!,90
Alex Stovall,AZ-7,4/24/2021,"Alex is running for Congress to reform broken government systems currently leaving vulnerable communities neglected. He believes that we can do this through education, empowerment, local support, and helping families thrive. The diverse conservative movement is strategically vital to turning Arizona red again and taking back the Republican Majority in Congress.",alex_stovall,0,0,,0,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p>Alex is running for Congress to reform broken government systems currently leaving vulnerable communities neglected. He believes that we can do this through education, empowerment, local support, and helping families thrive.</p>
<p></p>
<p>The diverse conservative movement is strategically vital to turning Arizona red again and taking back the Republican Majority in Congress.</p>
<p></p>
<p></p>",Donate to Alex for Congress today!,Alex for Congress Donation Page,https://secure.winred.com/alex-for-congress/donate-today?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/alex-for-congress/donate-today,Donate to Alex for Congress today!,Alex for Congress Donation Page,91
Debbie Lesko,AZ-8,4/24/2021,"Support Debbie's campaign for the U.S. House of Representatives in Congressional District 8 by making a secure online donation! You can also make a donation by mailing a check to:Debbie Lesko for CongressP.O. Box 45388Phoenix, AZ 85064",debbie_lesko,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<h4 style=""color: #43525e; font-family: 'Open Sans', sans-serif; background-color: #ffffff; font-size: 1.125em !important; text-align: center;""><span style=""font-size: 12pt; color: #000000;""><b>Support Debbie's campaign for the U.S. House of Representatives in Congressional District 8 by making a secure online donation!</b></span></h4>
<p style=""color: #43525e; font-family: 'Open Sans', sans-serif; background-color: #ffffff; font-size: 0.875em !important; text-align: center;""><span style=""font-size: 12pt; color: #000000;""><b>You can also make a donation by mailing a check to:<br></b><b>Debbie Lesko for Congress<br></b><b>P.O. Box 45388<br></b><b>Phoenix, AZ 85064</b></span></p>",Debbie Lesko for Congress,Conservative. Principled. Leader.,https://secure.winred.com/debbielesko/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/debbielesko/donate,Debbie Lesko for Congress,Conservative. Principled. Leader.,92
Tamika Hamilton,CA-3,4/24/2021,,tamika_hamilton,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,Tamika Hamilton for Congress,Thank you for your support!,https://secure.winred.com/tamikahamilton/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/tamikahamilton/donate,Tamika Hamilton for Congress,Thank you for your support!,93
Tom McClintock,CA-04,4/24/2021,,tom_mcclintock,0,0,,0,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,Tom McClintock for Congress,Support Tom McClintock for Congress >> ,https://secure.winred.com/mcclintock/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/mcclintock/donate,Tom McClintock for Congress,Support Tom McClintock for Congress >> ,94
Jay Obernolte,CA-8,4/24/2021,Thank you for your support! Join Jay's fight to take back the House for Republicans by making a contribution below!,jay_obernolte,0,0,,0,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,Jay Obernolte is the conservative fighter we need in DC fighting on behalf of conservative Californians.,Jay Obernolte for Congress,Join the fight -- Chip in today!,https://secure.winred.com/jayobernolte/thank-you?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/jayobernolte/thank-you,Jay Obernolte for Congress,Join the fight -- Chip in today!,95
Ritesh Tandon,CA-17,4/24/2021,Support Ritesh Tandon for Congress,ritesh_tandon,0,0,,0,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""text-align: center;""><span style=""font-size: 24pt; color: #000000;""><strong>Support Ritesh Tandon for Congress</strong></span></p>",Ritesh Tandon for Congress,Support Ritesh Tandon for Congress,https://secure.winred.com/tandon-for-congress/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/tandon-for-congress/donate,Ritesh Tandon for Congress,Support Ritesh Tandon for Congress,96
Jeff Gorman,CA-20,4/24/2021,Support Jeff Gorman for Congress,jeff_gorman,0,0,,0,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""text-align: center;""><span style=""font-size: 24pt; color: #000000;""><strong>Support Jeff Gorman for Congress</strong></span></p>",Jeff Gorman for Congress,Support Jeff Gorman for Congress,https://secure.winred.com/jeff-gorman-for-congress/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/jeff-gorman-for-congress/donate,Jeff Gorman for Congress,Support Jeff Gorman for Congress,97
Mike Cargile,CA-35,4/24/2021,Support Mike Cargile for Congress,mike_cargile,0,0,,0,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""text-align: center;""><span style=""font-size: 24pt; color: #000000;""><strong>Support Mike Cargile for Congress</strong></span></p>",Mike Cargile for Congress,Support Mike Cargile for Congress,https://secure.winred.com/mikecargile/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/mikecargile/donate,Mike Cargile for Congress,Support Mike Cargile for Congress,98
Young Kim,CA-39,4/24/2021,"THANK YOU FOR YOUR SUPPORT! Young Kim is fighting to take back the Majority, but needs your help. Will you join our grassroots team?",young_kim,0,0,,0,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"Young Kim is fighting to take back the Majority, but we need your help. Will you join our grassroots team?",Young Kim for Congress,Join the fight -- Chip in now!,https://secure.winred.com/young-kim-for-congress/thank-you?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/young-kim-for-congress/thank-you,Young Kim for Congress,Join the fight -- Chip in now!,99
Michelle Steel,CA-48,4/24/2021,THANK YOU FOR JOINING OUR FIGHT! WILL YOU CHIP IN TO TAKE BACK THE MAJORITY?,michelle_steel,0,0,,0,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"Michelle Steel is running to restore conservative leadership to CA48, a seat only recently flipped blue by Nancy Pelosi. But she can't do it alone. Will you join the team?",Join the Fight | Michelle Steel for Congress,"Michelle Steel is a conservative fighting to restore commonsense reform to California, but we can't do it without your help.",https://secure.winred.com/michellesteel/thank-you/?utm_medium=email&utm_source=house.100617&utm_campaign=20210424_house.100617_team-steel_t1059108-1188%20(2)&utm_content=Hyperlink_20200219_171009368,WinRed,en_US,website,summary_large_image,https://secure.winred.com/michellesteel/thank-you,Join the Fight | Michelle Steel for Congress,"Michelle Steel is a conservative fighting to restore commonsense reform to California, but we can't do it without your help.",100
Darrell Issa,CA-50,4/24/2021,,darrell_issa,0,0,,0,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,Darrell Issa for Congress,Thank you for your support!,https://secure.winred.com/darrellissa/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/darrellissa/donate,Darrell Issa for Congress,Thank you for your support!,101
Lauren Boebert,CO-3,4/24/2021,DONATE NOW Help Lauren Fight for Our Freedom!,lauren_boebert,0,0,,0,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<h2 style=""text-align: center; color: #43525e; font-family: 'Open Sans', sans-serif; background-color: #ffffff; font-size: 1.875em !important;""><b>DONATE NOW<br></b></h2>
<h4 style=""text-align: center; color: #43525e; font-family: 'Open Sans', sans-serif; background-color: #ffffff; font-size: 1.125em !important;""><b>Help Lauren Fight for Our Freedom!</b></h4>",WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,https://secure.winred.com/lauren-boebert-for-congress/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/lauren-boebert-for-congress/donate,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,102
Ken Buck,CO-4,4/24/2021,Help me fight against the Swamp and protect Conservative values! Thank you for joining me in this fight.,ken_buck,0,0,,0,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""text-align: center;""><span style=""color: #1f3a6d;""><strong><span style=""font-family: 'times new roman', times, serif; font-size: 18pt;"">Help me fight against the Swamp</span></strong></span></p>
<p style=""text-align: center;""><span style=""color: #1f3a6d;""><strong><span style=""font-size: 18pt;""><span style=""font-family: impact, sans-serif;""><span style=""font-family: 'times new roman', times, serif;"">and </span></span><span style=""font-family: impact, sans-serif;""><span style=""font-family: 'times new roman', times, serif;"">protect Conservative values!</span></span></span></strong></span></p>
<p style=""text-align: center;""><span style=""color: #1f3a6d; font-size: 14pt;""><em><span style=""font-family: impact, sans-serif;""><span style=""font-family: 'times new roman', times, serif;"">Thank you for joining me in this fight.</span></span></em></span></p>",Donate to Buck for Colorado Today!,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,https://secure.winred.com/buck-for-colorado/donate-homepage-01212021?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/buck-for-colorado/donate-homepage-01212021,Donate to Buck for Colorado Today!,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,103
Laurel Imer,CO-7,4/24/2021,Donate to Laurel Imer for Congress! Visit our Website today! LaurelImerForCongress.com,laurel_imer,0,0,"Features the phrase ""America First""",0,0,"Features the phrase ""America First""",FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""color: #354b70; font-size: 15px; background-color: #ffffff; text-align: center;""><strong><span style=""color: #43525e; font-size: 18pt;"">Donate to Laurel Imer for Congress!</span></strong></p>
<p style=""color: #354b70; font-size: 15px; background-color: #ffffff; text-align: center;""><span style=""color: #43525e; font-size: 14pt;"">Visit our Website today!</span></p>
<p style=""color: #354b70; font-size: 15px; background-color: #ffffff; text-align: center;""><span style=""color: #43525e; font-size: 14pt;"">LaurelImerForCongress.com</span></p>",Support Laurel Imer for Congress!,Donate to Laurel Imer for Congress CO-07 today!,https://secure.winred.com/laurel-imer-for-congress/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/laurel-imer-for-congress/donate,Support Laurel Imer for Congress!,Donate to Laurel Imer for Congress CO-07 today!,104
Neal Dunn,FL-2,4/24/2021,,neal_dunn,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,Neal Dunn for Congress,Conservative Leadership for Florida,https://secure.winred.com/nealdunn/donate,WinRed,en_US,website,summary_large_image,https://secure.winred.com/nealdunn/donate,Neal Dunn for Congress,Conservative Leadership for Florida,105
Kat Cammack,FL-3,4/24/2021,Constitutional Conservative for Florida's 3rd Congressional District,kat_cammack,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<h2 class=""font_2"" style=""font-size: 26px; text-align: center;""><span style=""color: #000000;""><span><span><span><span>Constitutional Conservative for</span></span></span></span></span></h2>
<h2 class=""font_2"" style=""font-size: 26px; text-align: center;""><span style=""color: #000000;""><span><span><span><span>Florida's 3rd Congressional District</span></span></span></span></span></h2>",WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,https://secure.winred.com/katcammack/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/katcammack/donate,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,106
Jose Castillo,FL-9,4/24/2021,Donate Today - Help Us Take Back the house!,jose_castillo,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""text-align: center;"">Donate Today - Help Us Take Back the house!</p>",Jose Castillo for Congress,Thank you for your support!,https://secure.winred.com/josecastillo/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/josecastillo/donate,Jose Castillo for Congress,Thank you for your support!,107
Becky E Hites,FL-9,4/24/2021,"Donate to support conservative Becky E. Hites for Congress! A proven leader and problem solver. Becky is not a go along to get along Candidate, but a leader who understands the complexity and hard work it takes to be an effective Representative of the people. She will be a strong Representative for the people of Florida's 9th Congressional District.",becky_e_hites,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p><span style=""font-size: 12pt; color: #ff0000;""><strong><em>Donate to support conservative Becky E. Hites for Congress! A proven leader and problem solver.  Becky is not a go along to get along Candidate, but a leader who understands the complexity and hard work it takes to be an effective Representative of the people. She will be a strong Representative for the people of Florida's 9th Congressional District. </em></strong></span></p>",Donate to Becky E. Hites for Congress!,Becky E. Hites for Congress Donation Page!,https://secure.winred.com/becky-e-hites-for-congress-2022/donate-today,WinRed,en_US,website,summary_large_image,https://secure.winred.com/becky-e-hites-for-congress-2022/donate-today,Donate to Becky E. Hites for Congress!,Becky E. Hites for Congress Donation Page!,108
Greg Steube,FL-17,4/24/2021,,greg_steube,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,Support Greg Steube for Congress Today!,I just donated to Greg Steube.  Will you join me?,https://secure.winred.com/gregsteube/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/gregsteube/donate,Support Greg Steube for Congress Today!,I just donated to Greg Steube.  Will you join me?,109
Byron Donalds,FL-19,4/24/2021,"Contribute today to help Byron Donalds defend the American Dream, individual liberty, and our Constitution in Congress. Please send checks to: Byron Donalds for Congress, 2430 Vanderbilt Beach Rd, Ste 108 #260, Naples, FL 34109",byron_donalds,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p class=""MsoNormal"" style="" font-size: 12pt; font-family: Calibri, sans-serif;"">Contribute today to help Byron Donalds defend the American Dream, individual liberty, and our Constitution in Congress.</p>
<p class=""MsoNormal"" style="" font-size: 12pt; font-family: Calibri, sans-serif;"">&nbsp;</p>
<p class=""MsoNormal"" style="" font-size: 12pt; font-family: Calibri, sans-serif;"">Please send checks to: Byron Donalds for Congress, 2430 Vanderbilt Beach Rd, Ste 108 #260, Naples, FL 34109</p>",Support Byron Donalds for Congress,"Contribute to Byron Donalds for Congress, today!",https://secure.winred.com/byrondonalds/donate,WinRed,en_US,website,summary_large_image,https://secure.winred.com/byrondonalds/donate,Support Byron Donalds for Congress,"Contribute to Byron Donalds for Congress, today!",110
Greg Musselwhite,FL-20,4/24/2021,Your Support Matters,greg_musselwhite,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""text-align: center;""><strong><span style=""font-size: 18pt;"">Your Support Matters</span></strong></p>",Greg Musselwhite for Congress,Donate Today,https://secure.winred.com/gregmusselwhite/donate,WinRed,en_US,website,summary_large_image,https://secure.winred.com/gregmusselwhite/donate,Greg Musselwhite for Congress,Donate Today,111
