<https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="self"; type="application/link-format"; from="Sat, 19 Oct 2019 01:46:31 GMT",
<http://web.archive.org/web/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="timegate",
<http://web.archive.org/web/20201018151611/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Sun, 18 Oct 2020 15:16:11 GMT",
<http://web.archive.org/web/20201030081558/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Fri, 30 Oct 2020 08:15:58 GMT",
<http://web.archive.org/web/20201103120939/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Tue, 03 Nov 2020 12:09:39 GMT",
<http://web.archive.org/web/20201107071814/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Sat, 07 Nov 2020 07:18:14 GMT",
<http://web.archive.org/web/20201107170345/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Sat, 07 Nov 2020 17:03:45 GMT",
<http://web.archive.org/web/20201108052905/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Sun, 08 Nov 2020 05:29:05 GMT",
<http://web.archive.org/web/20201108054143/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Sun, 08 Nov 2020 05:41:43 GMT",
<http://web.archive.org/web/20201108232804/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Sun, 08 Nov 2020 23:28:04 GMT",
<http://web.archive.org/web/20201112182552/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Thu, 12 Nov 2020 18:25:52 GMT",
<http://web.archive.org/web/20201112182609/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Thu, 12 Nov 2020 18:26:09 GMT",
<http://web.archive.org/web/20201118052343/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Wed, 18 Nov 2020 05:23:43 GMT",
<http://web.archive.org/web/20201120222108/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Fri, 20 Nov 2020 22:21:08 GMT",
<http://web.archive.org/web/20201120230410/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Fri, 20 Nov 2020 23:04:10 GMT",
<http://web.archive.org/web/20201120230506/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Fri, 20 Nov 2020 23:05:06 GMT",
<http://web.archive.org/web/20201121202648/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Sat, 21 Nov 2020 20:26:48 GMT",
<http://web.archive.org/web/20201122193123/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Sun, 22 Nov 2020 19:31:23 GMT",
<http://web.archive.org/web/20201126165103/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Thu, 26 Nov 2020 16:51:03 GMT",
<http://web.archive.org/web/20201201055751/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Tue, 01 Dec 2020 05:57:51 GMT",
<http://web.archive.org/web/20210125015141/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Mon, 25 Jan 2021 01:51:41 GMT",
<http://web.archive.org/web/20210224225339/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Wed, 24 Feb 2021 22:53:39 GMT",
<http://web.archive.org/web/20210422184112/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Thu, 22 Apr 2021 18:41:12 GMT",
<http://web.archive.org/web/20211214060307/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Tue, 14 Dec 2021 06:03:07 GMT",
