<https://secure.winred.com/jason-lewis-for-senate/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="self"; type="application/link-format"; from="Wed, 08 Apr 2020 09:19:52 GMT",
<http://web.archive.org/web/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="timegate",
<http://web.archive.org/web/20201005010954/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 01:09:54 GMT",
<http://web.archive.org/web/20201006232153/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Tue, 06 Oct 2020 23:21:53 GMT",
<http://web.archive.org/web/20201007190252/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 07 Oct 2020 19:02:52 GMT",
<http://web.archive.org/web/20201014185240/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 14 Oct 2020 18:52:40 GMT",
<http://web.archive.org/web/20201018145339/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Sun, 18 Oct 2020 14:53:39 GMT",
<http://web.archive.org/web/20201021191449/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 21 Oct 2020 19:14:49 GMT",
<http://web.archive.org/web/20201028104131/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 28 Oct 2020 10:41:31 GMT",
<http://web.archive.org/web/20201028192719/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 28 Oct 2020 19:27:19 GMT",
<http://web.archive.org/web/20201101160131/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Sun, 01 Nov 2020 16:01:31 GMT",
<http://web.archive.org/web/20201102030628/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Mon, 02 Nov 2020 03:06:28 GMT",
<http://web.archive.org/web/20201102102507/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Mon, 02 Nov 2020 10:25:07 GMT",
<http://web.archive.org/web/20201104190237/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 04 Nov 2020 19:02:37 GMT",
<http://web.archive.org/web/20201106070528/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:05:28 GMT",
<http://web.archive.org/web/20201107065738/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 06:57:38 GMT",
<http://web.archive.org/web/20201108063355/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Sun, 08 Nov 2020 06:33:55 GMT",
<http://web.archive.org/web/20201111201909/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 11 Nov 2020 20:19:09 GMT",
<http://web.archive.org/web/20201112220318/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 22:03:18 GMT",
<http://web.archive.org/web/20201117072750/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 07:27:50 GMT",
<http://web.archive.org/web/20201117104341/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 10:43:41 GMT",
<http://web.archive.org/web/20201118190246/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 19:02:46 GMT",
<http://web.archive.org/web/20201125175544/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 25 Nov 2020 17:55:44 GMT",
<http://web.archive.org/web/20201125190108/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 25 Nov 2020 19:01:08 GMT",
<http://web.archive.org/web/20201202185154/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 02 Dec 2020 18:51:54 GMT",
<http://web.archive.org/web/20201209185502/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 09 Dec 2020 18:55:02 GMT",
<http://web.archive.org/web/20201216185045/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 16 Dec 2020 18:50:45 GMT",
<http://web.archive.org/web/20201223190306/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 23 Dec 2020 19:03:06 GMT",
<http://web.archive.org/web/20201230185903/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 30 Dec 2020 18:59:03 GMT",
<http://web.archive.org/web/20210101140438/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Fri, 01 Jan 2021 14:04:38 GMT",
<http://web.archive.org/web/20210106185403/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 06 Jan 2021 18:54:03 GMT",
<http://web.archive.org/web/20210113185507/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 13 Jan 2021 18:55:07 GMT",
<http://web.archive.org/web/20210120185133/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 20 Jan 2021 18:51:33 GMT",
<http://web.archive.org/web/20210127190100/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 27 Jan 2021 19:01:00 GMT",
<http://web.archive.org/web/20210203185232/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 03 Feb 2021 18:52:32 GMT",
<http://web.archive.org/web/20210210185150/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 10 Feb 2021 18:51:50 GMT",
<http://web.archive.org/web/20210217190921/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 17 Feb 2021 19:09:21 GMT",
<http://web.archive.org/web/20210224185414/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 24 Feb 2021 18:54:14 GMT",
<http://web.archive.org/web/20210303190329/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 03 Mar 2021 19:03:29 GMT",
<http://web.archive.org/web/20210310185029/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 10 Mar 2021 18:50:29 GMT",
<http://web.archive.org/web/20210317185228/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 17 Mar 2021 18:52:28 GMT",
<http://web.archive.org/web/20210324185519/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 24 Mar 2021 18:55:19 GMT",
<http://web.archive.org/web/20210331190301/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 19:03:01 GMT",
<http://web.archive.org/web/20210407191051/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 07 Apr 2021 19:10:51 GMT",
<http://web.archive.org/web/20210414185300/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 14 Apr 2021 18:53:00 GMT",
<http://web.archive.org/web/20210421060258/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 21 Apr 2021 06:02:58 GMT",
<http://web.archive.org/web/20210421185229/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 21 Apr 2021 18:52:29 GMT",
<http://web.archive.org/web/20210428185022/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 28 Apr 2021 18:50:22 GMT",
<http://web.archive.org/web/20210505185109/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 05 May 2021 18:51:09 GMT",
<http://web.archive.org/web/20210512185110/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 12 May 2021 18:51:10 GMT",
<http://web.archive.org/web/20210519185013/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 19 May 2021 18:50:13 GMT",
<http://web.archive.org/web/20210526185221/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 26 May 2021 18:52:21 GMT",
<http://web.archive.org/web/20210531153932/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Mon, 31 May 2021 15:39:32 GMT",
<http://web.archive.org/web/20210602185057/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 02 Jun 2021 18:50:57 GMT",
<http://web.archive.org/web/20210609185303/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 09 Jun 2021 18:53:03 GMT",
<http://web.archive.org/web/20210616185040/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 16 Jun 2021 18:50:40 GMT",
<http://web.archive.org/web/20210623185117/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 23 Jun 2021 18:51:17 GMT",
<http://web.archive.org/web/20210630185206/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 30 Jun 2021 18:52:06 GMT",
<http://web.archive.org/web/20210707185222/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 07 Jul 2021 18:52:22 GMT",
<http://web.archive.org/web/20210714185129/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 14 Jul 2021 18:51:29 GMT",
<http://web.archive.org/web/20210721185332/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 21 Jul 2021 18:53:32 GMT",
<http://web.archive.org/web/20210728185134/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 28 Jul 2021 18:51:34 GMT",
<http://web.archive.org/web/20210804185202/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 04 Aug 2021 18:52:02 GMT",
<http://web.archive.org/web/20210811185101/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 11 Aug 2021 18:51:01 GMT",
<http://web.archive.org/web/20210818190038/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 18 Aug 2021 19:00:38 GMT",
<http://web.archive.org/web/20210825190316/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 25 Aug 2021 19:03:16 GMT",
<http://web.archive.org/web/20210901194420/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 01 Sep 2021 19:44:20 GMT",
<http://web.archive.org/web/20210908185836/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 08 Sep 2021 18:58:36 GMT",
<http://web.archive.org/web/20210915185458/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 15 Sep 2021 18:54:58 GMT",
<http://web.archive.org/web/20210922192406/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 22 Sep 2021 19:24:06 GMT",
<http://web.archive.org/web/20210929185759/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 29 Sep 2021 18:57:59 GMT",
<http://web.archive.org/web/20211006185523/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 06 Oct 2021 18:55:23 GMT",
<http://web.archive.org/web/20211013185923/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 13 Oct 2021 18:59:23 GMT",
<http://web.archive.org/web/20211018092037/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Mon, 18 Oct 2021 09:20:37 GMT",
<http://web.archive.org/web/20211018223638/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Mon, 18 Oct 2021 22:36:38 GMT",
<http://web.archive.org/web/20211020171610/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 17:16:10 GMT",
<http://web.archive.org/web/20211020185115/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 18:51:15 GMT",
<http://web.archive.org/web/20211022031608/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Fri, 22 Oct 2021 03:16:08 GMT",
<http://web.archive.org/web/20211027185356/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 27 Oct 2021 18:53:56 GMT",
<http://web.archive.org/web/20211103185344/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 03 Nov 2021 18:53:44 GMT",
<http://web.archive.org/web/20211110185146/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 10 Nov 2021 18:51:46 GMT",
<http://web.archive.org/web/20211115141028/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Mon, 15 Nov 2021 14:10:28 GMT",
<http://web.archive.org/web/20211117185317/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 17 Nov 2021 18:53:17 GMT",
<http://web.archive.org/web/20211124185458/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 24 Nov 2021 18:54:58 GMT",
