<https://secure.winred.com/steve-daines/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/steve-daines/donate>; rel="self"; type="application/link-format"; from="Wed, 11 Dec 2019 23:00:42 GMT",
<http://web.archive.org/web/https://secure.winred.com/steve-daines/donate>; rel="timegate",
<http://web.archive.org/web/20201106105301/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 10:53:01 GMT",
<http://web.archive.org/web/20201106121357/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:13:57 GMT",
<http://web.archive.org/web/20201106163302/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 16:33:02 GMT",
<http://web.archive.org/web/20201107070646/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 07:06:46 GMT",
<http://web.archive.org/web/20201108235447/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Sun, 08 Nov 2020 23:54:47 GMT",
<http://web.archive.org/web/20201112194614/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 19:46:14 GMT",
<http://web.archive.org/web/20201112194723/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 19:47:23 GMT",
<http://web.archive.org/web/20201112194727/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 19:47:27 GMT",
<http://web.archive.org/web/20201201060107/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Tue, 01 Dec 2020 06:01:07 GMT",
<http://web.archive.org/web/20201203042045/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Thu, 03 Dec 2020 04:20:45 GMT",
<http://web.archive.org/web/20201208205401/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Tue, 08 Dec 2020 20:54:01 GMT",
<http://web.archive.org/web/20210109041741/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Sat, 09 Jan 2021 04:17:41 GMT",
<http://web.archive.org/web/20210109101631/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Sat, 09 Jan 2021 10:16:31 GMT",
<http://web.archive.org/web/20210120200653/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Wed, 20 Jan 2021 20:06:53 GMT",
<http://web.archive.org/web/20210122030054/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Fri, 22 Jan 2021 03:00:54 GMT",
<http://web.archive.org/web/20210205215326/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Fri, 05 Feb 2021 21:53:26 GMT",
<http://web.archive.org/web/20210331040131/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 04:01:31 GMT",
<http://web.archive.org/web/20210416005244/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 00:52:44 GMT",
<http://web.archive.org/web/20210423090437/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Fri, 23 Apr 2021 09:04:37 GMT",
<http://web.archive.org/web/20210508081238/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Sat, 08 May 2021 08:12:38 GMT",
<http://web.archive.org/web/20211021013033/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Thu, 21 Oct 2021 01:30:33 GMT",
<http://web.archive.org/web/20211022164658/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Fri, 22 Oct 2021 16:46:58 GMT",
<http://web.archive.org/web/20211027233105/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Wed, 27 Oct 2021 23:31:05 GMT",
<http://web.archive.org/web/20211103202609/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Wed, 03 Nov 2021 20:26:09 GMT",
